date,time,TLoad,TAmp,TPlate,T4,VDetector,Elevation,V3,V4,Sky,Hot,Amp,Noise,LOMHz
21.09.2020,14:46:06.100886,22.334,25.670022,22.62703,-274.15,2.209439,11.222468,2.524583,0.835052,0,1,1,0,18485
21.09.2020,14:46:06.613003,22.339,25.679131,22.629505,-274.15,2.207907,11.177807,2.525615,0.838089,0,1,1,0,18485
21.09.2020,14:46:07.099103,22.335,25.675955,22.625759,-274.15,2.208893,11.155453,2.525165,0.834071,0,1,1,0,18485
21.09.2020,14:46:07.612841,22.336,25.679492,22.631861,-274.15,2.208341,11.164737,2.525315,0.831297,0,1,1,0,18485
21.09.2020,14:46:08.106118,22.334,25.686399,22.633485,-274.15,2.208306,11.158202,2.525473,0.832224,0,1,1,0,18485
21.09.2020,14:46:08.597878,22.331,25.685068,22.632284,-274.15,2.207925,11.154122,2.525411,0.835507,0,1,1,0,18485
21.09.2020,14:46:09.111945,22.34,25.694953,22.638936,-274.15,2.209322,11.160778,2.525154,0.836871,0,1,1,0,18485
21.09.2020,14:46:09.611710,22.334,25.69449,22.637237,-274.15,2.208816,11.152912,2.525467,0.836174,0,1,1,0,18485
21.09.2020,14:46:10.097800,22.333,25.698178,22.638337,-274.15,2.208233,11.156836,2.525408,0.837427,0,1,1,0,18485
21.09.2020,14:46:10.611982,22.334,25.700886,22.638011,-274.15,2.208539,11.161867,2.525416,0.837827,0,1,1,0,18485
21.09.2020,14:46:11.098726,22.33,25.702626,22.641361,-274.15,2.208378,11.160121,2.524931,0.833938,0,1,1,0,18485
21.09.2020,14:46:11.612049,22.335,25.711219,22.645053,-274.15,2.207887,11.180746,2.524962,0.838628,0,1,1,0,18485
21.09.2020,14:46:12.105711,22.337,25.711489,22.64541,-274.15,2.207158,11.184048,2.524319,0.833289,0,1,1,0,18485
21.09.2020,14:46:12.606339,22.333,25.716887,22.648035,-274.15,2.20686,11.171289,2.525271,0.837981,0,1,1,0,18485
21.09.2020,14:46:13.106480,22.332,25.716718,22.645117,-274.15,2.207531,11.151615,2.525526,0.832975,0,1,1,0,18485
21.09.2020,14:46:13.606403,22.332,25.720631,22.650379,-274.15,2.207401,11.145772,2.525138,0.833798,0,1,1,0,18485
21.09.2020,14:46:14.097565,22.337,25.726935,22.653248,-274.15,2.207892,11.162386,2.525395,0.838019,0,1,1,0,18485
21.09.2020,14:46:14.598062,22.332,25.724261,22.65306,-274.15,2.209302,11.155661,2.525505,0.836021,0,1,1,0,18485
21.09.2020,14:46:15.112406,22.336,25.734878,22.655186,-274.15,2.208616,11.158548,2.525371,0.834876,0,1,1,0,18485
21.09.2020,14:46:15.599236,22.337,25.739838,22.658697,-274.15,2.208533,11.159965,2.524785,0.8383,0,1,1,0,18485
